序号,电影名,评分,推荐语,链接
73,音乐之声,9.1,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
74,情书,8.9,暗恋的极致。,https://movie.douban.com/subject/1292220/
75,海豚湾,9.3,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/
76,阿凡达,8.8,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
77,致命魔术,8.9,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
78,美国往事,9.2,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/
79,沉默的羔羊,8.9,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
80,禁闭岛,8.8,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
81,蝴蝶效应,8.8,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
82,低俗小说,8.9,故事的高级讲法。,https://movie.douban.com/subject/1291832/
83,心灵捕手,8.9,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
84,布达佩斯大饭店,8.9,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
85,七宗罪,8.8,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/
86,春光乍泄,8.9,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
87,哈利·波特与死亡圣器(下),8.9,10年的完美句点。,https://movie.douban.com/subject/3011235/
88,摩登时代,9.3,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/
89,被嫌弃的松子的一生,8.9,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
90,喜剧之王,8.8,我是一个演员。,https://movie.douban.com/subject/1302425/
91,致命ID,8.8,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/
92,杀人回忆,8.9,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
93,加勒比海盗,8.8,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/
94,剪刀手爱德华,8.7,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/
95,勇敢的心,8.9,史诗大片的典范。,https://movie.douban.com/subject/1294639/
96,狩猎,9.1,人言可畏。,https://movie.douban.com/subject/6985810/
97,请以你的名字呼唤我,8.9,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/
98,红辣椒,9.0,梦的勾结。,https://movie.douban.com/subject/1865703/
99,断背山,8.8,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/
100,7号房的礼物,8.9,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
